"","Country","iso3","SPI_baseline","BHN_FWB","BHN_FWB_AllExt","Few_indicators_closest_DLS_coverage","Few indicators_SPI_preferred","No_non_DLS","Only_%_of_pop","Few_indicators_closest_DLS_coverage_90","Few indicators_SPI_preferred_90","Few_indicators_closeDLS_subPrimSchool","No_non_DLS_90","Few_Indicators_subWatSani","Only_OPP","africa","lat_abst","asia","baseco","f_french","f_germany","f_netherland","f_portugal","f_spain","f_brit","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","malfal94","lpd1500s","america","prienr1900","cath1900","prot1900","musl1900","Yrsmis60","ruleoflaw","protmiss","dummy_dennis","neoeuropes","logpgdp05","tyr05_n","lcapped","prienr1870","prienr1940"
"1","Algeria","DZA",3,3,3,2,2,3,2,2,2,2,3,2,3,1,0.31111112,0,1,1,0,0,0,0,0,21,24,42,0,1,67,75,57,66,0,1.9455794,0,9.9,11.9,0.3,86.6,79,-0.77,0.172,0,0,8.8774605,6.0927196,4.3592696,6.2,13.2
"2","Angola","AGO",4,1,4,3,3,1,1,3,3,1,4,3,1,1,0.13666667,0,1,0,0,0,1,0,0,26,28,37,14,21,77,84,74,78,0.95,0.4054651,0,0.2,0.5,0.1,0,82,-1.22,0.47341588,0,0,8.199643,2.169,5.521461,0.1,0.6
"3","Argentina","ARG",5,2,5,4,4,2,2,4,4,3,2,4,4,0,0.37777779,0,1,0,0,0,0,1,0,17,25,40,-6,6,81,92,60,79,0,-2.210722,1,33.9,97.4,0.7,0.1,124,-0.67,0.48671687,0,0,9.29039,8.870034,4.232656,NA,NA
"4","Australia","AUS",5,2,7,5,5,4,3,5,5,4,6,4,4,0,0.3,0,1,0,0,0,0,0,1,17,18,43,-10,3,56,85,35,64,0,-3.648357,0,87.3,22.7,73.7,0.3,NA,1.74,0.038857143,1,1,10.395712,11.94394,2.1459312,NA,NA
"5","Bangladesh","BGD",7,1,10,1,8,6,1,1,6,6,9,1,6,0,0.26666668,1,1,0,0,0,0,0,1,25,29,42,7,24,37,74,37,74,0.12008,3.1654751,0,0.6,0.1,0,65.6,165,-0.76,0.066094875,0,0,7.0601296,4.1860332,4.268438,NA,NA
"6","Bolivia","BOL",8,4,2,6,9,8,2,7,7,8,14,5,7,0,0.18888889,0,1,0,0,0,0,1,0,12,21,27,-3,2,77,93,49,74,0.00165,-0.18636888,1,7.9,93.6,0,0,65,-1.14,0.37746242,0,0,8.235371,8.314541,4.26268,2,15.5
"7","Brazil","BRA",8,4,13,2,2,9,2,2,2,2,16,2,2,0,0.11111111,0,1,0,0,0,1,0,0,25,32,39,10,18,82,87,68,74,0.036,-2.1349366,1,10.2,95.3,0.9,0.1,105,-0.2,0.1651673,0,0,9.04893,6.5980587,4.26268,NA,NA
"8","Burkina Faso","BFA",4,1,4,7,3,1,1,8,1,7,17,6,7,1,0.14444445,0,1,1,0,0,0,0,0,29,38,48,9,19,38,81,19,67,0.95,1.442202,0,3,0,0,10,37,-0.22,0.039800003,0,0,6.914727,0.728,5.521461,0.1,2
"9","Cameroon","CMR",7,1,11,1,1,6,1,1,3,1,12,1,1,1,0.06666667,0,1,0,1,0,0,0,0,25,31,36,14,17,97,98,62,75,0.95,0.4054651,0,0.8,0.1,0.2,5,102,-1.11,0.49268293,0,0,7.593746,5.4068713,5.521461,NA,NA
"10","Canada","CAN",5,2,7,5,5,4,3,5,5,4,6,4,4,0,0.6666667,0,1,0,0,0,0,0,1,4,12,39,-37,3,76,90,40,76,0,-3.830918,1,90,41.2,57,0,NA,1.79,0.15442404,1,1,10.464058,12.344676,2.7788193,NA,NA
"11","Chile","CHL",5,2,6,5,7,2,3,5,5,5,2,4,4,0,0.33333334,0,1,0,0,0,0,1,0,17,27,37,-4,6,70,93,38,64,0,-0.22154227,1,21.7,96,0.7,0,115,1.24,0.51135594,0,0,9.406596,9.261868,4.232656,NA,NA
"12","Colombia","COL",8,4,13,2,2,9,2,2,2,2,16,2,6,0,0.044444446,0,1,0,0,0,0,1,0,14,22,24,4,7,82,88,51,64,0.14637001,-0.03796991,1,15.8,79.8,0,0,104,-0.41,0.050948925,0,0,8.896254,6.694833,4.26268,NA,NA
"13","Congo, Republic of","COG",1,1,11,3,1,6,1,3,6,7,12,6,1,1,0.011111111,0,1,1,0,0,0,0,0,25,32,37,12,19,77,89,54,71,0.95,0.4054651,0,0.6,2.5,0,0,51,-1.15,1.4110124,0,0,8.125982,5.9675026,5.480639,0.1,2.4
"14","Costa Rica","CRI",5,2,6,4,4,2,2,2,4,2,2,4,4,0,0.11111111,0,1,0,0,0,0,1,0,21,29,33,9,14,80,92,55,78,0,0.4317824,1,25,98.5,1,0,66,0.54,0.4413815,0,0,9.109585,7.8920655,4.3579903,25,43.5
"15","Côte d'Ivoire","CIV",7,1,11,1,1,6,1,1,6,1,12,1,7,1,0.08888889,0,1,1,0,0,0,0,0,26,31,36,15,20,93,96,71,82,0.95,1.442202,0,0.6,0.1,0,5,36,-1.24,0,0,0,7.4181867,3.7306538,5.521461,NA,NA
"16","Dominican Republic","DOM",8,4,2,6,6,9,2,7,7,9,16,2,6,0,0.21111111,0,1,0,0,0,0,1,0,26,33,37,15,20,88,92,58,66,0,0.37843648,1,9.6,97.8,0.2,0,71,-0.77,0.45687288,0,0,8.760982,6.4740233,4.8675346,4.7,25.3
"17","Ecuador","ECU",8,2,2,2,2,9,2,2,2,2,16,2,6,0,0.022222223,0,1,0,0,0,0,1,0,15,26,30,0,4,80,94,40,60,0.118949994,0.77348995,1,21.5,87.7,0,0,64,-1.22,0.256,0,0,8.781156,7.258988,4.26268,9.6,36.3
"18","Egypt","EGY",6,3,3,2,2,3,2,2,2,2,3,2,5,1,0.3,0,1,0,0,0,0,0,1,24,31,47,1,17,50,70,18,41,0,4.6097307,0,7.6,0.6,0.3,81.1,106,-0.06,0.2972335,0,0,8.409746,5.4928975,4.2165623,NA,NA
"19","El Salvador","SLV",8,4,13,6,6,9,2,2,2,9,16,2,6,0,0.15,0,1,0,0,0,0,1,0,9,20,42,-25,8,71,85,46,76,0,0.4317824,1,15.4,98,0,0,64,-0.8,0.13097577,0,0,8.648605,6.670713,4.3579903,12.7,23.6
"20","Ethiopia","ETH",4,1,4,7,10,1,1,8,1,7,4,3,1,1,0.08888889,0,1,0,0,0,0,0,0,17,27,34,0,7,56,86,33,73,0.551,1.89712,0,3,0.5,26,0,56,-0.78,0.033999998,0,0,6.4553065,1.608,3.2580965,0.1,3.7
"21","Gabon","GAB",7,4,12,6,9,8,2,1,6,8,15,5,7,1,0.011111111,0,1,1,0,0,0,0,0,27,33,37,17,19,85,95,69,79,0.9405,0.4054651,0,0.6,5.4,1.1,0,118,-0.55,0.7973702,0,0,9.473802,6.7992163,5.521461,NA,NA
"22","Gambia, The","GMB",7,1,11,7,1,6,1,3,6,1,13,6,1,1,0.14755556,0,1,0,0,0,0,0,1,24,33,41,7,21,66,95,26,78,0.95,1.442202,0,9.4,2.1,2,81,139,-0.45,0.15,0,0,7.0551677,2.3496766,5.521461,NA,NA
"23","Ghana","GHA",7,4,12,1,8,6,1,3,6,1,9,6,7,1,0.08888889,0,1,0,0,0,0,0,1,27,32,38,15,21,95,97,61,77,0.95,1.442202,0,3.3,0.4,4.2,5,168,-0.09,0.25151038,0,0,7.096733,6.5347586,5.521461,NA,NA
"24","Guatemala","GTM",8,4,13,6,9,8,2,7,7,8,14,5,6,0,0.17,0,1,0,0,0,0,1,0,19,28,32,5,12,81,92,51,72,0.0036000002,0.43178245,1,21.7,99.4,0,0,78,-1.1,0.39403462,0,0,8.309329,3.6097085,4.26268,21.6,15
"25","Guinea","GIN",4,1,4,7,3,1,1,8,1,7,17,6,1,1,0.12222222,0,1,1,0,0,0,0,0,27,31,36,17,21,83,94,63,87,0.95,1.442202,0,0.6,0.2,0,58,42,-1.54,0.10857115,0,0,6.8782063,NA,5.521461,NA,NA
"26","Guyana","GUY",8,3,8,6,9,8,2,7,7,8,22,5,6,0,0.055555556,0,1,0,0,0,0,0,1,27,31,34,20,22,83,93,69,77,0.49503002,-1.5464631,1,40.6,8,50.7,6.3,153,-0.57,1.9385091,0,0,7.8384933,8.041913,3.4713452,NA,NA
"27","Haiti","HTI",9,1,1,3,3,6,1,3,3,1,12,6,6,0,0.21111111,0,1,1,0,0,0,0,0,27,34,38,16,20,68,79,43,56,1,0.27763188,1,1.6,95.2,4.8,0,137,-1.32,0.088757396,0,0,6.9307218,4.4528856,4.8675346,NA,NA
"28","Honduras","HND",8,4,13,6,9,8,2,7,7,8,14,5,6,0,0.16666667,0,1,0,0,0,0,1,0,22,25,30,14,18,79,91,43,70,0.012,0.4317824,1,29.4,97,0,0,64,-0.92,0.4654723,0,0,8.094641,5.848156,4.3579903,24.2,17.7
"29","India","IND",7,1,10,1,8,6,1,1,6,6,9,1,7,0,0.2222,1,1,0,0,0,0,0,1,24,28,46,-1,22,35,80,19,64,0.23596,3.1654751,0,4.7,0.8,0.5,13.7,254,0,0.25797403,0,0,7.699869,3.9850028,3.8842406,NA,NA
"30","Indonesia","IDN",8,4,2,6,9,8,2,7,7,8,14,5,6,0,0.0556,1,1,0,0,1,0,0,0,28,33,37,19,21,90,95,61,75,0.17873,1.453499,0,2.5,0.1,1.2,40,355,-0.6,0.15906519,0,0,8.039894,5.0263586,5.1357985,NA,NA
"31","Jamaica","JAM",8,2,13,2,2,9,2,7,7,2,22,2,2,0,0.20166667,0,1,0,0,0,0,0,1,26,33,36,14,20,77,88,61,73,0,1.5303947,1,50.6,2,90.9,0.3,206,-0.48,1.8056868,0,0,8.857578,9.013859,4.8675346,NA,NA
"32","Kenya","KEN",7,1,11,7,1,6,1,3,3,1,12,6,7,1,0.011111111,0,1,0,0,0,0,0,1,18,26,31,5,11,74,89,40,62,0.798,0.969094,0,13,0.1,0.1,3.4,114,-1.07,1.0974576,0,0,7.205188,5.9191685,4.9767337,NA,NA
"33","Madagascar","MDG",4,1,4,3,10,6,1,6,1,7,12,3,6,1,0.22222222,0,1,1,0,0,0,0,0,18,27,35,1,12,85,94,49,71,0.95,0.18540059,0,8.7,18,21.2,0.5,142,-0.72,0.80065984,0,0,6.766969,3.57,5.521461,NA,NA
"34","Malaysia","MYS",3,2,6,4,4,3,2,4,4,3,3,4,3,0,0.025555555,1,1,0,0,0,0,0,1,28,35,37,18,21,95,97,58,66,0.23331,0.19677547,0,7.5,0.8,0.4,48.8,142,0.48,0.28959978,0,0,9.353945,8.938863,2.8735647,NA,NA
"35","Mali","MLI",4,1,4,7,3,1,1,8,1,7,17,6,7,1,0.18888889,0,1,1,0,0,0,0,0,29,36,47,8,19,33,94,18,73,0.9405,0,0,0.6,0,0,30,41,-0.38,0.032,0,0,6.785084,1.162656,5.521461,0.1,2.4
"36","Malta","MLT",5,2,7,5,5,4,3,5,5,4,6,4,4,0,0.39444444,0,1,0,0,0,0,0,1,23,22,40,5,18,71,78,59,68,NA,4.1351666,0,37.8,89,10.8,0,NA,1.52,0,1,0,9.949578,9.746033,2.791165,NA,NA
"37","Mexico","MEX",8,4,2,2,2,9,2,2,2,2,16,2,6,0,0.25555557,0,1,0,0,0,0,1,0,16,23,32,-3,9,66,86,26,54,0.00042,0.96302074,1,25.3,98.8,0.4,0,90,-0.59,0.20091608,0,0,9.408459,7.8266754,4.26268,NA,NA
"38","Morocco","MAR",3,3,3,2,6,3,2,4,7,9,3,2,3,1,0.35555556,0,1,1,0,0,0,0,0,24,27,48,0,12,87,92,59,72,0,2.2064812,0,1.7,0.5,0,96.4,76,-0.22,0.12166667,0,0,8.162887,3.8993948,4.3592696,0.1,3.6
"39","New Zealand","NZL",5,2,7,5,5,4,3,5,5,4,6,4,4,0,0.45555556,0,1,0,0,0,0,0,1,15,19,31,-2,5,73,81,67,78,0,-0.99425226,0,87.7,14.2,83.9,0,NA,1.93,0.15311004,1,1,10.138755,12.23379,2.1459312,NA,NA
"40","Nicaragua","NIC",8,4,2,6,9,8,2,7,7,8,14,5,6,0,0.14444445,0,1,0,0,0,0,1,0,27,31,34,20,23,80,92,44,70,0.044,0.4317824,1,17.6,97.2,0.6,0,111,-0.79,0.57982916,0,0,7.7560086,5.1393895,5.095589,NA,NA
"41","Niger","NER",4,1,4,7,10,1,1,8,1,7,17,6,7,1,0.17777778,0,1,1,0,0,0,0,0,29,38,46,8,19,26,91,11,68,0.9405,0,0,0.6,0,0,45.1,37,-0.57,0,0,0,6.413192,1.2869884,5.521461,NA,NA
"42","Nigeria","NGA",7,1,11,7,1,6,1,3,3,1,12,6,7,1,0.11111111,0,1,0,0,0,0,0,1,28,34,40,16,21,81,87,65,80,0.95,1.442202,0,6.6,0.2,0.8,25.9,116,-1.2,0.2661781,0,0,7.4671717,3.457,5.521461,NA,NA
"43","Pakistan","PAK",7,1,10,7,8,6,1,3,6,6,13,1,1,0,0.33333334,1,1,0,0,0,0,0,1,22,24,48,-4,17,19,54,19,54,0.53757,3.1654751,0,0.6,0.1,0.2,82.1,110,-0.89,0.24549903,0,0,7.6707993,4.511222,3.6106477,NA,NA
"44","Panama","PAN",8,2,2,2,4,9,2,2,2,2,16,2,2,0,0.1,0,1,0,0,0,0,1,0,27,34,36,17,21,81,91,78,92,0.08004,0.4317824,1,7.9,87,9.5,0.5,78,-0.15,1.2889838,0,0,9.123318,9.004878,5.095589,7.9,44
