STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,ADJUSTMENT,Adjustment,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1990,,65.3686304205325,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1991,,66.5539747471405,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1992,,65.6267135634657,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1993,,65.6388356808478,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1994,,64.9520683814279,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1995,,63.0714331590996,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1996,,60.4448549238003,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1997,,60.6853250661475,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1998,,64.373737157395,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,AUS,Australia,A,Annual,HPI_YDH,Price to income ratio,IX,Index,1999,,65.9931708381299,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
