iso3,lcapped,prienr1900,protmiss,malfal94,lpd1500s,prienr1870,prienr1940,cath1900,prot1900,musl1900,Yrsmis60,lat_abst,neoeuropes,baseco
AGO,5.521461,0.2,0.47341588,0.95,0.4054651,0.1,0.6,0.5,0.1,0.0,82.0,0.13666667,0.0,1.0
ARG,4.232656,33.9,0.48671687,0.0,-2.210722,,,97.4,0.7,0.1,124.0,0.37777779,0.0,1.0
AUS,2.1459312,87.3,0.038857143,0.0,-3.648357,,,22.7,73.7,0.3,,0.3,1.0,1.0
BFA,5.521461,3.0,0.039800003,0.95,1.442202,0.1,2.0,0.0,0.0,10.0,37.0,0.14444445,0.0,1.0
BGD,4.268438,0.6,0.066094875,0.12008,3.1654751,,,0.1,0.0,65.6,165.0,0.26666668,0.0,1.0
BHS,4.4426513,71.9,9.05131,,0.37843648,,,10.0,87.3,0.0,160.0,0.26833332,0.0,1.0
BOL,4.26268,7.9,0.37746242,0.00165,-0.18636888,2.0,15.5,93.6,0.0,0.0,65.0,0.18888889,0.0,1.0
BRA,4.26268,10.2,0.1651673,0.036,-2.1349366,,,95.3,0.9,0.1,105.0,0.11111111,0.0,1.0
CAN,2.7788193,90.0,0.15442404,0.0,-3.830918,,,41.2,57.0,0.0,,0.6666667,1.0,1.0
CHL,4.232656,21.7,0.51135594,0.0,-0.22154227,,,96.0,0.7,0.0,115.0,0.33333334,0.0,1.0
CIV,5.521461,0.6,0.0,0.95,1.442202,,,0.1,0.0,5.0,36.0,0.08888889,0.0,1.0
CMR,5.521461,0.8,0.49268293,0.95,0.4054651,,,0.1,0.2,5.0,102.0,0.06666667,0.0,1.0
COG,5.480639,0.6,1.4110124,0.95,0.4054651,0.1,2.4,2.5,0.0,0.0,51.0,0.011111111,0.0,1.0
COL,4.26268,15.8,0.050948925,0.14637001,-0.03796991,,,79.8,0.0,0.0,104.0,0.044444446,0.0,1.0
CRI,4.3579903,25.0,0.4413815,0.0,0.4317824,25.0,43.5,98.5,1.0,0.0,66.0,0.11111111,0.0,1.0
DOM,4.8675346,9.6,0.45687288,0.0,0.37843648,4.7,25.3,97.8,0.2,0.0,71.0,0.21111111,0.0,1.0
DZA,4.3592696,9.9,0.172,0.0,1.9455794,6.2,13.2,11.9,0.3,86.6,79.0,0.31111112,0.0,1.0
ECU,4.26268,21.5,0.256,0.118949994,0.77348995,9.6,36.3,87.7,0.0,0.0,64.0,0.022222223,0.0,1.0
EGY,4.2165623,7.6,0.2972335,0.0,4.6097307,,,0.6,0.3,81.1,106.0,0.3,0.0,1.0
ETH,3.2580965,3.0,0.033999998,0.551,1.89712,0.1,3.7,0.5,26.0,0.0,56.0,0.08888889,0.0,1.0
GAB,5.521461,0.6,0.7973702,0.9405,0.4054651,,,5.4,1.1,0.0,118.0,0.011111111,0.0,1.0
GHA,5.521461,3.3,0.25151038,0.95,1.442202,,,0.4,4.2,5.0,168.0,0.08888889,0.0,1.0
GIN,5.521461,0.6,0.10857115,0.95,1.442202,,,0.2,0.0,58.0,42.0,0.12222222,0.0,1.0
GMB,5.521461,9.4,0.15,0.95,1.442202,,,2.1,2.0,81.0,139.0,0.14755556,0.0,1.0
GTM,4.26268,21.7,0.39403462,0.0036000002,0.43178245,21.6,15.0,99.4,0.0,0.0,78.0,0.17,0.0,1.0
GUY,3.4713452,40.6,1.9385091,0.49503002,-1.5464631,,,8.0,50.7,6.3,153.0,0.055555556,0.0,1.0
HKG,2.7013612,12.0,0.022168621,0.0,-2.437894,,,1.0,1.2,0.3,,0.24611111,0.0,1.0
HND,4.3579903,29.4,0.4654723,0.012,0.4317824,24.2,17.7,97.0,0.0,0.0,64.0,0.16666667,0.0,1.0
HTI,4.8675346,1.6,0.088757396,1.0,0.27763188,,,95.2,4.8,0.0,137.0,0.21111111,0.0,1.0
IDN,5.1357985,2.5,0.15906519,0.17873,1.453499,,,0.1,1.2,40.0,355.0,0.0556,0.0,1.0
IND,3.8842406,4.7,0.25797403,0.23596,3.1654751,,,0.8,0.5,13.7,254.0,0.2222,0.0,1.0
JAM,4.8675346,50.6,1.8056868,0.0,1.5303947,,,2.0,90.9,0.3,206.0,0.20166667,0.0,1.0
KEN,4.9767337,13.0,1.0974576,0.798,0.969094,,,0.1,0.1,3.4,114.0,0.011111111,0.0,1.0
LKA,4.245634,21.9,0.4950551,0.138,2.7390766,,,8.1,1.8,6.9,156.0,0.07777778,0.0,1.0
MAR,4.3592696,1.7,0.12166667,0.0,2.2064812,0.1,3.6,0.5,0.0,96.4,76.0,0.35555556,0.0,1.0
MDG,5.521461,8.7,0.80065984,0.95,0.18540059,,,18.0,21.2,0.5,142.0,0.22222222,0.0,1.0
MEX,4.26268,25.3,0.20091608,0.00042,0.96302074,,,98.8,0.4,0.0,90.0,0.25555557,0.0,1.0
MLI,5.521461,0.6,0.032,0.9405,0.0,0.1,2.4,0.0,0.0,30.0,41.0,0.18888889,0.0,1.0
MLT,2.791165,37.8,0.0,,4.1351666,,,89.0,10.8,0.0,,0.39444444,0.0,1.0
MYS,2.8735647,7.5,0.28959978,0.23331,0.19677547,,,0.8,0.4,48.8,142.0,0.025555555,0.0,1.0
NER,5.521461,0.6,0.0,0.9405,0.0,,,0.0,0.0,45.1,37.0,0.17777778,0.0,1.0
NGA,5.521461,6.6,0.2661781,0.95,1.442202,,,0.2,0.8,25.9,116.0,0.11111111,0.0,1.0
NIC,5.095589,17.6,0.57982916,0.044,0.4317824,,,97.2,0.6,0.0,111.0,0.14444445,0.0,1.0
NZL,2.1459312,87.7,0.15311004,0.0,-0.99425226,,,14.2,83.9,0.0,,0.45555556,1.0,1.0
PAK,3.6106477,0.6,0.24549903,0.53757,3.1654751,,,0.1,0.2,82.1,110.0,0.33333334,0.0,1.0
PAN,5.095589,7.9,1.2889838,0.08004,0.4317824,7.9,44.0,87.0,9.5,0.5,78.0,0.1,0.0,1.0
PER,4.26268,12.5,0.21473889,0.0005,0.4462871,9.5,30.9,94.6,0.0,0.0,72.0,0.11111111,0.0,1.0
PRY,4.3579903,20.8,0.65314543,0.0,-0.6863743,19.0,61.9,96.7,0.0,0.0,74.0,0.25555557,0.0,1.0
SDN,4.479607,0.6,0.14207424,0.931,2.6411395,0.1,3.7,0.0,0.0,62.0,61.0,0.16666667,0.0,1.0
SEN,5.103883,0.6,0.015796341,0.95,1.442202,,,1.8,0.0,70.0,97.0,0.15555556,0.0,1.0
SGP,2.8735647,0.6,2.1131124,0.0,-2.437894,,,2.2,1.8,2.2,141.0,0.013555556,0.0,1.0
SLE,5.521461,3.1,0.70047826,0.95,1.442202,,,0.3,4.2,10.0,165.0,0.09222222,0.0,1.0
SLV,4.3579903,15.4,0.13097577,0.0,0.4317824,12.7,23.6,98.0,0.0,0.0,64.0,0.15,0.0,1.0
TGO,5.521461,4.4,0.087116666,0.95,1.442202,,,0.5,0.3,4.0,113.0,0.08888889,0.0,1.0
TTO,4.4426513,51.7,1.1478138,0.0,0.37843648,,,32.6,38.1,3.8,177.0,0.12222222,0.0,1.0
TUN,4.1431346,3.8,0.16705726,0.0,2.4598472,3.8,13.3,7.4,0.0,87.5,78.0,0.37777779,0.0,1.0
TZA,5.521461,10.7,0.4419825,0.9215,0.6833779,,,1.8,0.6,7.0,96.0,0.06666667,0.0,1.0
UGA,5.521461,0.6,0.3517237,0.95,2.0166545,0.1,29.9,3.8,0.0,2.0,83.0,0.011111111,0.0,1.0
URY,4.26268,28.3,0.3643057,0.0,-2.210722,31.5,44.6,61.2,1.6,0.0,82.0,0.36666667,0.0,1.0
USA,2.7080503,95.0,0.018648872,0.0,-2.4378936,,,17.1,69.4,0.0,,0.42222223,1.0,1.0
VEN,4.3579903,3.7,0.43533206,0.00704,-0.82098055,1.6,26.7,92.9,0.1,0.0,77.0,0.08888889,0.0,1.0
VNM,4.9416423,0.5,0.012680753,0.7011,1.8155707,0.1,10.8,5.5,0.0,0.7,49.0,0.17777778,0.0,1.0
ZAF,2.74084,14.8,2.5243268,0.104499996,-0.7105286,,,1.4,38.8,0.6,223.0,0.32222223,0.0,1.0
ZAR,5.480639,3.0,1.04434,0.95,0.4054651,0.1,8.5,0.8,0.6,0.5,82.0,0.0,0.0,1.0
