STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,EDUCATION_LEV,Education level,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,PRT,Portugal,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2011,,6.3974991440773,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,PRT,Portugal,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2010,,8.9065745472908,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NLD,Netherlands,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2014,,3.60974483191967,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NLD,Netherlands,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2013,,3.09864562004805,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NLD,Netherlands,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2012,,2.7602780610323,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,CZE,Czechia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2017,,12.1958412230015,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,CZE,Czechia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2016,,13.5622650384903,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,CZE,Czechia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2015,,13.6962726712227,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NZL,New Zealand,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2019,,0.7,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NZL,New Zealand,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2013,,1.35033201270955,,B,Time series break,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NZL,New Zealand,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2018,,0.821102864051628,,B,Time series break,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2018,,9.19455140829086,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2016,,5.64106181263924,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2015,,6.3838504254818,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2014,,6.01763725280762,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2013,,8.12358632683754,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2012,,7.07593634724617,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,ISL,Iceland,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2011,,7.61352777481079,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,COL,Colombia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2017,,34.1289162635803,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NLD,Netherlands,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2017,,4.32107076048851,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NLD,Netherlands,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2016,,4.3135978281498,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,NLD,Netherlands,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2015,,3.48619185388088,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,COL,Colombia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2010,,39.4229382276535,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,COL,Colombia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2020,,34.6133768558502,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,COL,Colombia,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2019,,33.8742107152939,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2017,,26.4325648546219,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2016,,27.3581475019455,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2015,,27.662268280983,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2014,,28.0640631914139,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2013,,29.4558495283127,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2012,,28.5584181547165,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2011,,29.0748119354248,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2010,,29.7231286764145,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2020,,22.2856894135475,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,SVK,Slovak Republic,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2019,,25.6991326808929,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,JPN,Japan,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2010,,1.73792149871588,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,JPN,Japan,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2020,,1.64880454540253,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,JPN,Japan,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2019,,1.50489090010524,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,JPN,Japan,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2018,,1.64383556693792,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,JPN,Japan,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2016,,1.8954623490572,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,JPN,Japan,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2014,,1.596009918,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,USA,United States,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2017,,4.18606959283352,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,USA,United States,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2016,,4.24419529736042,,A,Normal value,0,Units,2,Two,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.0),Current well-being,I,USA,United States,3_1,Households living in overcrowded conditions,PT_HH,Percentage of households,_T,Total,_T,Total,_T,Total,HSL_3,Housing,2015,,4.20236624777317,,A,Normal value,0,Units,2,Two,,
