"Indicator","R1","R2","R3","R4","R5","R6","Overall"
"Nutrition",0.18,0.4,0.03,0.18,0.22,0.4,0.21
"Handwashing",0.14,0.53,0.07,0.29,0.6,0.13,0.23
"Sanitation",0.46,1.3,1.38,1.18,2.47,0.78,0.86
"Water",0.29,0.86,0.81,0.16,0.61,0.43,0.43
"CleanFuels",0.37,0.95,0.35,0.72,1.07,0.5,0.53
"Electricity",0.35,0.57,1.54,1.01,3.53,0.29,0.69
"Schooling",0.69,0.86,0.61,0.57,0.64,0.48,0.68
"Internet",2.96,3.93,1.69,1.54,1.71,0.87,2.66
"Telephone",3.89,5.28,5.2,5.28,5.86,2.57,4.39
"UHC",0.57,0.96,0.48,0.84,1.23,0.81,0.69
"Slums",0.52,1.49,1.03,0.63,0.7,0.12,0.71
